date,state,cases
05-11-2020,ak,18064
06-11-2020,ak,18589
07-11-2020,ak,19194
26-01-2020,az,1
27-01-2020,az,1
28-01-2020,az,1
29-01-2020,az,1
30-01-2020,az,1
31-01-2020,az,1
01-02-2020,az,1
02-02-2020,az,1
03-02-2020,az,1
04-02-2020,az,1
05-02-2020,az,1
06-02-2020,az,1
07-02-2020,az,1
08-02-2020,az,1
09-02-2020,az,1
10-02-2020,az,1
11-02-2020,az,1
12-02-2020,az,1
13-02-2020,az,1
14-02-2020,az,1
15-02-2020,az,1
16-02-2020,az,1
17-02-2020,az,1
18-02-2020,az,1
19-02-2020,az,1
20-02-2020,az,1
21-02-2020,az,1
22-02-2020,az,1
23-02-2020,az,1
24-02-2020,az,1
25-02-2020,az,1
26-02-2020,az,1
27-02-2020,az,1
28-02-2020,az,1
29-02-2020,az,1
01-03-2020,az,1
02-03-2020,az,1
03-03-2020,az,2
04-03-2020,az,2
05-03-2020,az,2
06-03-2020,az,3
07-03-2020,az,5
08-03-2020,az,5
09-03-2020,az,6
10-03-2020,az,6
11-03-2020,az,9
12-03-2020,az,9
13-03-2020,az,9
14-03-2020,az,12
15-03-2020,az,13
16-03-2020,az,18
17-03-2020,az,20
18-03-2020,az,28
19-03-2020,az,47
20-03-2020,az,70
21-03-2020,az,104
22-03-2020,az,153
23-03-2020,az,234
24-03-2020,az,326
25-03-2020,az,402
26-03-2020,az,508
27-03-2020,az,665
28-03-2020,az,773
29-03-2020,az,930
30-03-2020,az,1169
31-03-2020,az,1298
01-04-2020,az,1413
02-04-2020,az,1600
03-04-2020,az,1769
04-04-2020,az,2019
05-04-2020,az,2269
06-04-2020,az,2466
07-04-2020,az,2577
08-04-2020,az,2726
09-04-2020,az,3018
10-04-2020,az,3112
11-04-2020,az,3393
12-04-2020,az,3539
13-04-2020,az,3702
14-04-2020,az,3806
15-04-2020,az,3962
16-04-2020,az,4234
17-04-2020,az,4507
18-04-2020,az,4719
19-04-2020,az,4929
20-04-2020,az,5064
21-04-2020,az,5251
22-04-2020,az,5459
23-04-2020,az,5769
24-04-2020,az,6045
25-04-2020,az,6280
26-04-2020,az,6526
27-04-2020,az,6716
28-04-2020,az,6948
29-04-2020,az,7202
30-04-2020,az,7648
01-05-2020,az,7962
02-05-2020,az,8364
03-05-2020,az,8640
04-05-2020,az,8919
05-05-2020,az,9305
06-05-2020,az,9707
07-05-2020,az,9945
08-05-2020,az,10526
09-05-2020,az,10960
10-05-2020,az,11119
11-05-2020,az,11380
12-05-2020,az,11736
13-05-2020,az,12176
14-05-2020,az,12674
15-05-2020,az,13169
16-05-2020,az,13631
17-05-2020,az,13937
18-05-2020,az,14170
19-05-2020,az,14566
20-05-2020,az,14897
21-05-2020,az,15315
22-05-2020,az,15608
23-05-2020,az,16040
24-05-2020,az,16339
25-05-2020,az,16561
26-05-2020,az,16783
27-05-2020,az,17262
28-05-2020,az,17763
29-05-2020,az,18465
30-05-2020,az,19255
31-05-2020,az,19936
01-06-2020,az,20123
02-06-2020,az,21250
03-06-2020,az,22245
04-06-2020,az,22818
05-06-2020,az,24369
06-06-2020,az,25517
07-06-2020,az,26924
08-06-2020,az,27761
09-06-2020,az,28396
10-06-2020,az,29981
11-06-2020,az,31525
12-06-2020,az,33167
13-06-2020,az,34773
14-06-2020,az,35953
15-06-2020,az,37005
16-06-2020,az,39298
17-06-2020,az,41159
18-06-2020,az,43731
19-06-2020,az,46914
20-06-2020,az,50198
21-06-2020,az,52666
22-06-2020,az,54767
23-06-2020,az,58397
24-06-2020,az,60207
25-06-2020,az,63297
26-06-2020,az,66676
27-06-2020,az,70152
28-06-2020,az,73961
29-06-2020,az,74602
30-06-2020,az,79399
01-07-2020,az,84152
02-07-2020,az,87495
03-07-2020,az,91894
04-07-2020,az,94616
05-07-2020,az,98126
06-07-2020,az,101542
07-07-2020,az,105159
08-07-2020,az,108710
09-07-2020,az,112783
10-07-2020,az,116947
11-07-2020,az,119991
12-07-2020,az,122479
13-07-2020,az,123917
14-07-2020,az,128126
15-07-2020,az,131411
16-07-2020,az,134730
17-07-2020,az,138575
18-07-2020,az,141333
19-07-2020,az,143644
20-07-2020,az,145320
21-07-2020,az,148730
22-07-2020,az,150659
23-07-2020,az,153029
24-07-2020,az,156392
25-07-2020,az,160055
26-07-2020,az,162041
27-07-2020,az,163918
28-07-2020,az,165994
29-07-2020,az,168361
30-07-2020,az,170905
31-07-2020,az,174108
01-08-2020,az,177019
02-08-2020,az,178473
03-08-2020,az,179506
04-08-2020,az,180537
05-08-2020,az,182230
06-08-2020,az,183744
07-08-2020,az,185104
08-08-2020,az,186226
09-08-2020,az,187086
10-08-2020,az,187634
11-08-2020,az,188780
12-08-2020,az,189522
13-08-2020,az,190850
14-08-2020,az,191810
15-08-2020,az,192670
16-08-2020,az,193554
17-08-2020,az,194027
18-08-2020,az,194931
19-08-2020,az,195568
20-08-2020,az,196305
21-08-2020,az,196925
22-08-2020,az,197909
23-08-2020,az,198117
24-08-2020,az,198421
25-08-2020,az,199293
26-08-2020,az,199495
27-08-2020,az,200172
28-08-2020,az,200694
29-08-2020,az,201317
30-08-2020,az,201695
31-08-2020,az,201866
01-09-2020,az,202375
02-09-2020,az,202898
03-09-2020,az,203964
04-09-2020,az,204686
05-09-2020,az,205518
06-09-2020,az,205772
07-09-2020,az,205971
08-09-2020,az,206048
09-09-2020,az,206548
10-09-2020,az,207002
11-09-2020,az,207525
12-09-2020,az,208128
13-09-2020,az,208514
14-09-2020,az,208726
15-09-2020,az,209215
16-09-2020,az,209911
17-09-2020,az,211663
18-09-2020,az,213663
19-09-2020,az,213551
20-09-2020,az,214018
21-09-2020,az,214251
22-09-2020,az,214846
23-09-2020,az,215284
24-09-2020,az,215852
25-09-2020,az,216367
26-09-2020,az,216826
27-09-2020,az,217237
28-09-2020,az,217513
29-09-2020,az,218185
30-09-2020,az,218511
01-10-2020,az,219214
02-10-2020,az,219778
03-10-2020,az,220403
04-10-2020,az,220757
05-10-2020,az,221091
06-10-2020,az,221937
07-10-2020,az,222558
08-10-2020,az,223407
09-10-2020,az,224101
10-10-2020,az,224985
11-10-2020,az,225575
12-10-2020,az,226072
13-10-2020,az,226749
14-10-2020,az,227660
15-10-2020,az,228748
16-10-2020,az,229508
17-10-2020,az,230412
18-10-2020,az,231149
19-10-2020,az,231933
20-10-2020,az,232939
21-10-2020,az,233948
22-10-2020,az,234914
23-10-2020,az,235910
24-10-2020,az,236898
25-10-2020,az,238200
26-10-2020,az,239193
27-10-2020,az,240158
28-10-2020,az,241259
29-10-2020,az,242510
30-10-2020,az,244099
31-10-2020,az,245962
01-11-2020,az,247484
02-11-2020,az,248293
03-11-2020,az,249841
04-11-2020,az,250853
05-11-2020,az,252843
06-11-2020,az,254961
07-11-2020,az,257384
11-03-2020,ar,1
12-03-2020,ar,6
13-03-2020,ar,7
14-03-2020,ar,9
15-03-2020,ar,16
16-03-2020,ar,22
17-03-2020,ar,22
18-03-2020,ar,33
19-03-2020,ar,62
20-03-2020,ar,100
21-03-2020,ar,118
22-03-2020,ar,165
23-03-2020,ar,201
24-03-2020,ar,231
25-03-2020,ar,307
26-03-2020,ar,350
27-03-2020,ar,385
28-03-2020,ar,409
29-03-2020,ar,449
30-03-2020,ar,508
31-03-2020,ar,564
01-04-2020,ar,624
02-04-2020,ar,683
03-04-2020,ar,738
04-04-2020,ar,743
05-04-2020,ar,853
06-04-2020,ar,927
07-04-2020,ar,997
08-04-2020,ar,1077
09-04-2020,ar,1146
10-04-2020,ar,1202
11-04-2020,ar,1228
12-04-2020,ar,1280
13-04-2020,ar,1475
14-04-2020,ar,1498
15-04-2020,ar,1599
16-04-2020,ar,1620
17-04-2020,ar,1695
18-04-2020,ar,1777
19-04-2020,ar,1781
20-04-2020,ar,1971
21-04-2020,ar,2262
22-04-2020,ar,2392
23-04-2020,ar,2599
24-04-2020,ar,2810
25-04-2020,ar,2909
26-04-2020,ar,3001
27-04-2020,ar,3069
28-04-2020,ar,3127
29-04-2020,ar,3207
30-04-2020,ar,3281
01-05-2020,ar,3310
02-05-2020,ar,3372
03-05-2020,ar,3431
04-05-2020,ar,3469
05-05-2020,ar,3525
06-05-2020,ar,3611
07-05-2020,ar,3694
08-05-2020,ar,3747
09-05-2020,ar,3747
10-05-2020,ar,4012
11-05-2020,ar,4043
12-05-2020,ar,4164
13-05-2020,ar,4236
14-05-2020,ar,4366
15-05-2020,ar,4463
16-05-2020,ar,4578
17-05-2020,ar,4759
18-05-2020,ar,4813
19-05-2020,ar,4923
20-05-2020,ar,5003
21-05-2020,ar,5458
22-05-2020,ar,5612
23-05-2020,ar,5775
24-05-2020,ar,5922
25-05-2020,ar,6029
26-05-2020,ar,6180
27-05-2020,ar,6277
28-05-2020,ar,6538
29-05-2020,ar,6777
30-05-2020,ar,7013
31-05-2020,ar,7253
01-06-2020,ar,7443
02-06-2020,ar,7818
03-06-2020,ar,8067
04-06-2020,ar,8425
05-06-2020,ar,8651
06-06-2020,ar,9101
07-06-2020,ar,9426
08-06-2020,ar,9740
09-06-2020,ar,10080
10-06-2020,ar,10368
11-06-2020,ar,10816
12-06-2020,ar,11547
13-06-2020,ar,12095
14-06-2020,ar,12501
15-06-2020,ar,12917
16-06-2020,ar,13191
17-06-2020,ar,13606
18-06-2020,ar,13928
19-06-2020,ar,14631
20-06-2020,ar,15142
21-06-2020,ar,15561
22-06-2020,ar,16083
23-06-2020,ar,16678
24-06-2020,ar,17375
25-06-2020,ar,18062
26-06-2020,ar,18740
27-06-2020,ar,19310
28-06-2020,ar,19818
29-06-2020,ar,20257
30-06-2020,ar,20777
01-07-2020,ar,21197
02-07-2020,ar,22075
03-07-2020,ar,22622
04-07-2020,ar,23209
05-07-2020,ar,23814
06-07-2020,ar,24253
07-07-2020,ar,24512
08-07-2020,ar,25246
09-07-2020,ar,26052
10-07-2020,ar,26803
11-07-2020,ar,27864
12-07-2020,ar,28367
13-07-2020,ar,28939
14-07-2020,ar,29733
15-07-2020,ar,30297
16-07-2020,ar,31114
17-07-2020,ar,31762
18-07-2020,ar,32533
19-07-2020,ar,33228
20-07-2020,ar,33927
21-07-2020,ar,34655
22-07-2020,ar,35246
23-07-2020,ar,36259
24-07-2020,ar,37249
25-07-2020,ar,37981
26-07-2020,ar,38623
27-07-2020,ar,39447
28-07-2020,ar,40181
29-07-2020,ar,40968
30-07-2020,ar,41759
31-07-2020,ar,42511
01-08-2020,ar,43173
02-08-2020,ar,43810
03-08-2020,ar,44597
04-08-2020,ar,45381
05-08-2020,ar,46293
06-08-2020,ar,47028
07-08-2020,ar,48039
08-08-2020,ar,48811
09-08-2020,ar,49383
10-08-2020,ar,50028
11-08-2020,ar,50411
12-08-2020,ar,51114
13-08-2020,ar,51766
14-08-2020,ar,52392
15-08-2020,ar,51992
16-08-2020,ar,52665
17-08-2020,ar,53077
18-08-2020,ar,53487
19-08-2020,ar,54216
20-08-2020,ar,54765
21-08-2020,ar,55652
22-08-2020,ar,56199
23-08-2020,ar,56574
24-08-2020,ar,56894
25-08-2020,ar,57374
26-08-2020,ar,58023
27-08-2020,ar,58745
28-08-2020,ar,59583
29-08-2020,ar,60378
30-08-2020,ar,60856
31-08-2020,ar,61224
01-09-2020,ar,61497
02-09-2020,ar,62112
03-09-2020,ar,63504
04-09-2020,ar,64678
05-09-2020,ar,65226
06-09-2020,ar,65924
07-09-2020,ar,66280
08-09-2020,ar,66757
09-09-2020,ar,67255
10-09-2020,ar,67803
11-09-2020,ar,68987
12-09-2020,ar,69710
13-09-2020,ar,70219
14-09-2020,ar,70627
15-09-2020,ar,71497
16-09-2020,ar,72219
17-09-2020,ar,73211
18-09-2020,ar,74082
19-09-2020,ar,75160
20-09-2020,ar,75723
21-09-2020,ar,76364
22-09-2020,ar,76981
23-09-2020,ar,77963
24-09-2020,ar,79049
25-09-2020,ar,79946
26-09-2020,ar,80755
27-09-2020,ar,81242
28-09-2020,ar,82049
29-09-2020,ar,82755
30-09-2020,ar,83697
01-10-2020,ar,84821
02-10-2020,ar,85779
03-10-2020,ar,86525
04-10-2020,ar,87013
05-10-2020,ar,87430
06-10-2020,ar,88071
07-10-2020,ar,88880
08-10-2020,ar,90145
09-10-2020,ar,91312
10-10-2020,ar,92220
11-10-2020,ar,92833
12-10-2020,ar,93487
13-10-2020,ar,94167
14-10-2020,ar,95246
15-10-2020,ar,96524
16-10-2020,ar,97539
17-10-2020,ar,98422
18-10-2020,ar,99066
19-10-2020,ar,99597
20-10-2020,ar,100441
21-10-2020,ar,101596
22-10-2020,ar,102798
23-10-2020,ar,104135
24-10-2020,ar,105318
25-10-2020,ar,106115
26-10-2020,ar,106727
27-10-2020,ar,107679
28-10-2020,ar,108640
29-10-2020,ar,109712
30-10-2020,ar,110874
31-10-2020,ar,112190
01-11-2020,ar,113057
02-11-2020,ar,113641
03-11-2020,ar,114519
04-11-2020,ar,115812
05-11-2020,ar,117360
06-11-2020,ar,119230
07-11-2020,ar,120828
25-01-2020,ca,1
26-01-2020,ca,2
27-01-2020,ca,2
28-01-2020,ca,2
29-01-2020,ca,2
30-01-2020,ca,2
31-01-2020,ca,3
01-02-2020,ca,3
02-02-2020,ca,6
03-02-2020,ca,6
04-02-2020,ca,6
05-02-2020,ca,6
